Entity,Code,Year,Concentration
Mauna Loa,NOAA,1959,315.98
Mauna Loa,NOAA,1960,316.91
Mauna Loa,NOAA,1961,317.64
Mauna Loa,NOAA,1962,318.45
Mauna Loa,NOAA,1963,318.99
Mauna Loa,NOAA,1964,319.62
Mauna Loa,NOAA,1965,320.04
Mauna Loa,NOAA,1966,321.37
Mauna Loa,NOAA,1967,322.18
Mauna Loa,NOAA,1968,323.05
Mauna Loa,NOAA,1969,324.62
Mauna Loa,NOAA,1970,325.68
Mauna Loa,NOAA,1971,326.32
Mauna Loa,NOAA,1972,327.46
Mauna Loa,NOAA,1973,329.68
Mauna Loa,NOAA,1974,330.19
Mauna Loa,NOAA,1975,331.13
Mauna Loa,NOAA,1976,332.03
Mauna Loa,NOAA,1977,333.84
Mauna Loa,NOAA,1978,335.41
Mauna Loa,NOAA,1979,336.84
Mauna Loa,NOAA,1980,338.76
Mauna Loa,NOAA,1981,340.12
Mauna Loa,NOAA,1982,341.48
Mauna Loa,NOAA,1983,343.15
Mauna Loa,NOAA,1984,344.87
Mauna Loa,NOAA,1985,346.35
Mauna Loa,NOAA,1986,347.61
Mauna Loa,NOAA,1987,349.31
Mauna Loa,NOAA,1988,351.69
Mauna Loa,NOAA,1989,353.2
Mauna Loa,NOAA,1990,354.45
Mauna Loa,NOAA,1991,355.7
Mauna Loa,NOAA,1992,356.54
Mauna Loa,NOAA,1993,357.21
Mauna Loa,NOAA,1994,358.96
Mauna Loa,NOAA,1995,360.97
Mauna Loa,NOAA,1996,362.74
Mauna Loa,NOAA,1997,363.88
Mauna Loa,NOAA,1998,366.84
Mauna Loa,NOAA,1999,368.54
Mauna Loa,NOAA,2000,369.71
Mauna Loa,NOAA,2001,371.32
Mauna Loa,NOAA,2002,373.45
Mauna Loa,NOAA,2003,375.98
Mauna Loa,NOAA,2004,377.7
Mauna Loa,NOAA,2005,379.98
Mauna Loa,NOAA,2006,382.09
Mauna Loa,NOAA,2007,384.02
Mauna Loa,NOAA,2008,385.83
Mauna Loa,NOAA,2009,387.64
Mauna Loa,NOAA,2010,390.1
Mauna Loa,NOAA,2011,391.85
Mauna Loa,NOAA,2012,394.06
Mauna Loa,NOAA,2013,396.74
Mauna Loa,NOAA,2014,398.81
Mauna Loa,NOAA,2015,401.01
Mauna Loa,NOAA,2016,404.41
Mauna Loa,NOAA,2017,406.76
Mauna Loa,NOAA,2018,408.72
Mauna Loa,NOAA,2019,411.65
Mauna Loa,NOAA,2020,414.21
Mauna Loa,NOAA,2021,416.41
Mauna Loa,NOAA,2022,418.53
Mauna Loa,NOAA,2023,421.08
Mauna Loa,NOAA,2024,424.61