Entity,Code,Year,Annual COâ‚‚ emissions
World,OWID_WRL,1750,9305937
World,OWID_WRL,1751,9407229
World,OWID_WRL,1752,9505168
World,OWID_WRL,1753,9610490
World,OWID_WRL,1754,9733580
World,OWID_WRL,1755,9793468
World,OWID_WRL,1756,9909914
World,OWID_WRL,1757,10093936
World,OWID_WRL,1758,10216358
World,OWID_WRL,1759,10338854
World,OWID_WRL,1760,10514331
World,OWID_WRL,1761,10747885
World,OWID_WRL,1762,10952198
World,OWID_WRL,1763,11191592
World,OWID_WRL,1764,11396982
World,OWID_WRL,1765,11643486
World,OWID_WRL,1766,11876080
World,OWID_WRL,1767,12152509
World,OWID_WRL,1768,12466936
World,OWID_WRL,1769,12780074
World,OWID_WRL,1770,13097216
World,OWID_WRL,1771,13369488
World,OWID_WRL,1772,13623507
World,OWID_WRL,1773,13808138
World,OWID_WRL,1774,14012415
World,OWID_WRL,1775,14338920
World,OWID_WRL,1776,14654124
World,OWID_WRL,1777,14959537
World,OWID_WRL,1778,15243483
World,OWID_WRL,1779,15535235
World,OWID_WRL,1780,15878726
World,OWID_WRL,1781,16234383
World,OWID_WRL,1782,16580954
World,OWID_WRL,1783,17062752
World,OWID_WRL,1784,17471092
World,OWID_WRL,1785,17965128
World,OWID_WRL,1786,18447496
World,OWID_WRL,1787,18859130
World,OWID_WRL,1788,19286228
World,OWID_WRL,1789,19863424
World,OWID_WRL,1790,20398094
World,OWID_WRL,1791,20931750
World,OWID_WRL,1792,21929214
World,OWID_WRL,1793,22297260
World,OWID_WRL,1794,22519656
World,OWID_WRL,1795,22315246
World,OWID_WRL,1796,22121374
World,OWID_WRL,1797,22090078
World,OWID_WRL,1798,23105928
World,OWID_WRL,1799,27485206
World,OWID_WRL,1800,32798352
World,OWID_WRL,1801,31986050
World,OWID_WRL,1802,40310476
World,OWID_WRL,1803,29538506
World,OWID_WRL,1804,31769176
World,OWID_WRL,1805,31251818
World,OWID_WRL,1806,32704620
World,OWID_WRL,1807,36200652
World,OWID_WRL,1808,35497788
World,OWID_WRL,1809,36333812
World,OWID_WRL,1810,39492310
World,OWID_WRL,1811,40176680
World,OWID_WRL,1812,40814520
World,OWID_WRL,1813,41206140
World,OWID_WRL,1814,42226650
World,OWID_WRL,1815,43587264
World,OWID_WRL,1816,45496580
World,OWID_WRL,1817,49275920
World,OWID_WRL,1818,51392010
World,OWID_WRL,1819,50930170
World,OWID_WRL,1820,50733076
World,OWID_WRL,1821,52059348
World,OWID_WRL,1822,54021710
World,OWID_WRL,1823,56357760
World,OWID_WRL,1824,57583636
World,OWID_WRL,1825,60730864
World,OWID_WRL,1826,61382130
World,OWID_WRL,1827,65738572
World,OWID_WRL,1828,66681790
World,OWID_WRL,1829,66307412
World,OWID_WRL,1830,88988500
World,OWID_WRL,1831,83250904
World,OWID_WRL,1832,82091750
World,OWID_WRL,1833,83248940
World,OWID_WRL,1834,88763100
World,OWID_WRL,1835,97399600
World,OWID_WRL,1836,106894500
World,OWID_WRL,1837,106199420
World,OWID_WRL,1838,105845260
World,OWID_WRL,1839,109653030
World,OWID_WRL,1840,118808510
World,OWID_WRL,1841,122165550
World,OWID_WRL,1842,129388790
World,OWID_WRL,1843,132369384
World,OWID_WRL,1844,141966450
World,OWID_WRL,1845,155073400
World,OWID_WRL,1846,157701780
World,OWID_WRL,1847,170796750
World,OWID_WRL,1848,173643470
World,OWID_WRL,1849,185048030
World,OWID_WRL,1850,196847600
World,OWID_WRL,1851,198778540
World,OWID_WRL,1852,207595090
World,OWID_WRL,1853,217236980
World,OWID_WRL,1854,255038560
World,OWID_WRL,1855,260259860
World,OWID_WRL,1856,278245630
World,OWID_WRL,1857,281181060
World,OWID_WRL,1858,285548400
World,OWID_WRL,1859,302572160
World,OWID_WRL,1860,332298460
World,OWID_WRL,1861,349190180
World,OWID_WRL,1862,355991100
World,OWID_WRL,1863,379534880
World,OWID_WRL,1864,409525400
World,OWID_WRL,1865,434851330
World,OWID_WRL,1866,449067000
World,OWID_WRL,1867,480813900
World,OWID_WRL,1868,494493540
World,OWID_WRL,1869,524731070
World,OWID_WRL,1870,536123300
World,OWID_WRL,1871,569776640
World,OWID_WRL,1872,630961500
World,OWID_WRL,1873,670467200
World,OWID_WRL,1874,628662200
World,OWID_WRL,1875,681048000
World,OWID_WRL,1876,690582500
World,OWID_WRL,1877,704032830
World,OWID_WRL,1878,709649540
World,OWID_WRL,1879,759794370
World,OWID_WRL,1880,858055700
World,OWID_WRL,1881,887965000
World,OWID_WRL,1882,937888260
World,OWID_WRL,1883,997514560
World,OWID_WRL,1884,1009429800
World,OWID_WRL,1885,1017144500
World,OWID_WRL,1886,1032613600
World,OWID_WRL,1887,1083727500
World,OWID_WRL,1888,1200801700
World,OWID_WRL,1889,1201516300
World,OWID_WRL,1890,1306591200
World,OWID_WRL,1891,1368915700
World,OWID_WRL,1892,1379808900
World,OWID_WRL,1893,1362515100
World,OWID_WRL,1894,1411532900
World,OWID_WRL,1895,1495238900
World,OWID_WRL,1896,1544660900
World,OWID_WRL,1897,1617492700
World,OWID_WRL,1898,1705961000
World,OWID_WRL,1899,1863135400
World,OWID_WRL,1900,1961490700
World,OWID_WRL,1901,2023963900
World,OWID_WRL,1902,2074800300
World,OWID_WRL,1903,2262046200
World,OWID_WRL,1904,2287509200
World,OWID_WRL,1905,2437062000
World,OWID_WRL,1906,2544486000
World,OWID_WRL,1907,2900324600
World,OWID_WRL,1908,2785686800
World,OWID_WRL,1909,2901167400
World,OWID_WRL,1910,3043326000
World,OWID_WRL,1911,3090098200
World,OWID_WRL,1912,3246477000
World,OWID_WRL,1913,3516533000
World,OWID_WRL,1914,3189786400
World,OWID_WRL,1915,3140276700
World,OWID_WRL,1916,3391973000
World,OWID_WRL,1917,3548138500
World,OWID_WRL,1918,3499686400
World,OWID_WRL,1919,3033839400
World,OWID_WRL,1920,3537837000
World,OWID_WRL,1921,3106184200
World,OWID_WRL,1922,3254462700
World,OWID_WRL,1923,3690697700
World,OWID_WRL,1924,3702777000
World,OWID_WRL,1925,3740633600
World,OWID_WRL,1926,3677407500
World,OWID_WRL,1927,4012947200
World,OWID_WRL,1928,3996311800
World,OWID_WRL,1929,4288211500
World,OWID_WRL,1930,3958096000
World,OWID_WRL,1931,3539320300
World,OWID_WRL,1932,3192591600
World,OWID_WRL,1933,3362683400
World,OWID_WRL,1934,3656187100
World,OWID_WRL,1935,3835742500
World,OWID_WRL,1936,4207930600
World,OWID_WRL,1937,4496715300
World,OWID_WRL,1938,4229619200
World,OWID_WRL,1939,4470135000
World,OWID_WRL,1940,4884664000
World,OWID_WRL,1941,4999092700
World,OWID_WRL,1942,4982524000
World,OWID_WRL,1943,5075273000
World,OWID_WRL,1944,5162486300
World,OWID_WRL,1945,4289312500
World,OWID_WRL,1946,4608547000
World,OWID_WRL,1947,5165205500
World,OWID_WRL,1948,5447885000
World,OWID_WRL,1949,5204035000
World,OWID_WRL,1950,5930243600
World,OWID_WRL,1951,6381428700
World,OWID_WRL,1952,6467460600
World,OWID_WRL,1953,6650885000
World,OWID_WRL,1954,6789529000
World,OWID_WRL,1955,7443896000
World,OWID_WRL,1956,7926013000
World,OWID_WRL,1957,8185645000
World,OWID_WRL,1958,8417187300
World,OWID_WRL,1959,8854690000
World,OWID_WRL,1960,9387011000
World,OWID_WRL,1961,9415042000
World,OWID_WRL,1962,9747287000
World,OWID_WRL,1963,10266772000
World,OWID_WRL,1964,10824465000
World,OWID_WRL,1965,11310600000
World,OWID_WRL,1966,11862647000
World,OWID_WRL,1967,12237369000
World,OWID_WRL,1968,12905284000
World,OWID_WRL,1969,13761785000
World,OWID_WRL,1970,14899124000
World,OWID_WRL,1971,15503855000
World,OWID_WRL,1972,16224597000
World,OWID_WRL,1973,17085094000
World,OWID_WRL,1974,17011072000
World,OWID_WRL,1975,17052752000
World,OWID_WRL,1976,17989112000
World,OWID_WRL,1977,18498636000
World,OWID_WRL,1978,19069290000
World,OWID_WRL,1979,19609020000
World,OWID_WRL,1980,19488524000
World,OWID_WRL,1981,19022903000
World,OWID_WRL,1982,18871097000
World,OWID_WRL,1983,18991910000
World,OWID_WRL,1984,19647801000
World,OWID_WRL,1985,20311902000
World,OWID_WRL,1986,20614963000
World,OWID_WRL,1987,21250075000
World,OWID_WRL,1988,22085130000
World,OWID_WRL,1989,22386637000
World,OWID_WRL,1990,22728989000
World,OWID_WRL,1991,23186102000
World,OWID_WRL,1992,22528172000
World,OWID_WRL,1993,22755787000
World,OWID_WRL,1994,22992947000
World,OWID_WRL,1995,23532083000
World,OWID_WRL,1996,24258169000
World,OWID_WRL,1997,24401906000
World,OWID_WRL,1998,24303778000
World,OWID_WRL,1999,24853730000
World,OWID_WRL,2000,25510554000
World,OWID_WRL,2001,25706293000
World,OWID_WRL,2002,26276870000
World,OWID_WRL,2003,27669490000
World,OWID_WRL,2004,28632506000
World,OWID_WRL,2005,29614395000
World,OWID_WRL,2006,30628397000
World,OWID_WRL,2007,31534645000
World,OWID_WRL,2008,32074200000
World,OWID_WRL,2009,31541922000
World,OWID_WRL,2010,33355903000
World,OWID_WRL,2011,34504540000
World,OWID_WRL,2012,35000020000
World,OWID_WRL,2013,35301655000
World,OWID_WRL,2014,35450094000
World,OWID_WRL,2015,35404900000
World,OWID_WRL,2016,35416658000
World,OWID_WRL,2017,35989897000
World,OWID_WRL,2018,36730425000
World,OWID_WRL,2019,37104275000
World,OWID_WRL,2020,35126526000
World,OWID_WRL,2021,36991734000
World,OWID_WRL,2022,37293834000
World,OWID_WRL,2023,37791570000